# Exact solution for the double rarefaction/vacuum test from Toro (test3; 
# section 6.4) after 0.15 s.  This was computed using Toro's exact Riemann 
# solver (Ch. 4).
#         x              rho              u               p               e
      0.003906        1.000000       -2.000000        0.400000        1.000000
      0.011719        1.000000       -2.000000        0.400000        1.000000
      0.019531        1.000000       -2.000000        0.400000        1.000000
      0.027344        1.000000       -2.000000        0.400000        1.000000
      0.035156        1.000000       -2.000000        0.400000        1.000000
      0.042969        1.000000       -2.000000        0.400000        1.000000
      0.050781        1.000000       -2.000000        0.400000        1.000000
      0.058594        1.000000       -2.000000        0.400000        1.000000
      0.066406        1.000000       -2.000000        0.400000        1.000000
      0.074219        1.000000       -2.000000        0.400000        1.000000
      0.082031        1.000000       -2.000000        0.400000        1.000000
      0.089844        0.984555       -1.988370        0.391377        0.993793
      0.097656        0.928591       -1.944967        0.360590        0.970800
      0.105469        0.875201       -1.901564        0.331903        0.948076
      0.113281        0.824296       -1.858161        0.305194        0.925621
      0.121094        0.775787       -1.814758        0.280349        0.903435
      0.128906        0.729590       -1.771356        0.257259        0.881519
      0.136719        0.685620       -1.727953        0.235818        0.859871
      0.144531        0.643796       -1.684550        0.215927        0.838493
      0.152344        0.604038       -1.641147        0.197492        0.817383
      0.160156        0.566270       -1.597745        0.180423        0.796543
      0.167969        0.530415       -1.554342        0.164635        0.775972
      0.175781        0.496399       -1.510939        0.150046        0.755670
      0.183594        0.464151       -1.467536        0.136579        0.735637
      0.191406        0.433602       -1.424133        0.124162        0.715874
      0.199219        0.404682       -1.380731        0.112725        0.696379
      0.207031        0.377327       -1.337328        0.102203        0.677154
      0.214844        0.351472       -1.293925        0.092535        0.658197
      0.222656        0.327053       -1.250522        0.083661        0.639510
      0.230469        0.304011       -1.207120        0.075528        0.621092
      0.238281        0.282287       -1.163717        0.068081        0.602943
      0.246094        0.261822       -1.120314        0.061273        0.585063
      0.253906        0.242562       -1.076911        0.055057        0.567452
      0.261719        0.224453       -1.033508        0.049389        0.550110
      0.269531        0.207441       -0.990106        0.044230        0.533038
      0.277344        0.191477       -0.946703        0.039539        0.516234
      0.285156        0.176512       -0.903300        0.035281        0.499700
      0.292969        0.162497       -0.859897        0.031423        0.483435
      0.300781        0.149387       -0.816495        0.027932        0.467439
      0.308594        0.137137       -0.773092        0.024778        0.451712
      0.316406        0.125704       -0.729689        0.021935        0.436254
      0.324219        0.115046       -0.686286        0.019377        0.421065
      0.332031        0.105124       -0.642883        0.017078        0.406145
      0.339844        0.095899       -0.599481        0.015018        0.391495
      0.347656        0.087333       -0.556078        0.013174        0.377113
      0.355469        0.079391       -0.512675        0.011528        0.363001
      0.363281        0.072037       -0.469272        0.010061        0.349158
      0.371094        0.065238       -0.425870        0.008757        0.335584
      0.378906        0.058963       -0.382467        0.007601        0.322279
      0.386719        0.053180       -0.339064        0.006578        0.309243
      0.394531        0.047860       -0.295661        0.005676        0.296476
      0.402344        0.042975       -0.252258        0.004882        0.283979
      0.410156        0.038497       -0.208856        0.004185        0.271750
      0.417969        0.034400       -0.165453        0.003575        0.259791
      0.425781        0.030660       -0.122050        0.003043        0.248100
      0.433594        0.027252       -0.078647        0.002580        0.236679
      0.441406        0.024154       -0.035245        0.002179        0.225527
      0.449219        0.021852        0.000000        0.001894        0.216669
      0.457031        0.021852        0.000000        0.001894        0.216669
      0.464844        0.021852        0.000000        0.001894        0.216669
      0.472656        0.021852        0.000000        0.001894        0.216669
      0.480469        0.021852        0.000000        0.001894        0.216669
      0.488281        0.021852        0.000000        0.001894        0.216669
      0.496094        0.021852        0.000000        0.001894        0.216669
      0.503906        0.021852        0.000000        0.001894        0.216669
