# Exact solution for the Sod problem at t = 0.2 s, using Toro's exact Riemann
# solver (Ch. 4).  
#        x               rho             u               p                e
      0.003906        1.000000        0.000000        1.000000        2.500000
      0.011719        1.000000        0.000000        1.000000        2.500000
      0.019531        1.000000        0.000000        1.000000        2.500000
      0.027344        1.000000        0.000000        1.000000        2.500000
      0.035156        1.000000        0.000000        1.000000        2.500000
      0.042969        1.000000        0.000000        1.000000        2.500000
      0.050781        1.000000        0.000000        1.000000        2.500000
      0.058594        1.000000        0.000000        1.000000        2.500000
      0.066406        1.000000        0.000000        1.000000        2.500000
      0.074219        1.000000        0.000000        1.000000        2.500000
      0.082031        1.000000        0.000000        1.000000        2.500000
      0.089844        1.000000        0.000000        1.000000        2.500000
      0.097656        1.000000        0.000000        1.000000        2.500000
      0.105469        1.000000        0.000000        1.000000        2.500000
      0.113281        1.000000        0.000000        1.000000        2.500000
      0.121094        1.000000        0.000000        1.000000        2.500000
      0.128906        1.000000        0.000000        1.000000        2.500000
      0.136719        1.000000        0.000000        1.000000        2.500000
      0.144531        1.000000        0.000000        1.000000        2.500000
      0.152344        1.000000        0.000000        1.000000        2.500000
      0.160156        1.000000        0.000000        1.000000        2.500000
      0.167969        1.000000        0.000000        1.000000        2.500000
      0.175781        1.000000        0.000000        1.000000        2.500000
      0.183594        1.000000        0.000000        1.000000        2.500000
      0.191406        1.000000        0.000000        1.000000        2.500000
      0.199219        1.000000        0.000000        1.000000        2.500000
      0.207031        1.000000        0.000000        1.000000        2.500000
      0.214844        1.000000        0.000000        1.000000        2.500000
      0.222656        1.000000        0.000000        1.000000        2.500000
      0.230469        1.000000        0.000000        1.000000        2.500000
      0.238281        1.000000        0.000000        1.000000        2.500000
      0.246094        1.000000        0.000000        1.000000        2.500000
      0.253906        1.000000        0.000000        1.000000        2.500000
      0.261719        1.000000        0.000000        1.000000        2.500000
      0.269531        0.978445        0.025727        0.969954        2.478304
      0.277344        0.951706        0.058279        0.933048        2.450988
      0.285156        0.925555        0.090831        0.897353        2.423823
      0.292969        0.899982        0.123383        0.862834        2.396810
      0.300781        0.874977        0.155935        0.829460        2.369948
      0.308594        0.850532        0.188487        0.797199        2.343237
      0.316406        0.826635        0.221039        0.766019        2.316678
      0.324219        0.803279        0.253591        0.735890        2.290270
      0.332031        0.780454        0.286144        0.706783        2.264013
      0.339844        0.758151        0.318696        0.678668        2.237908
      0.347656        0.736360        0.351248        0.651518        2.211954
      0.355469        0.715073        0.383800        0.625304        2.186152
      0.363281        0.694282        0.416352        0.599999        2.160501
      0.371094        0.673977        0.448904        0.575577        2.135001
      0.378906        0.654150        0.481456        0.552012        2.109653
      0.386719        0.634792        0.514008        0.529278        2.084456
      0.394531        0.615896        0.546560        0.507353        2.059410
      0.402344        0.597452        0.579112        0.486210        2.034516
      0.410156        0.579452        0.611664        0.465827        2.009773
      0.417969        0.561889        0.644216        0.446181        1.985182
      0.425781        0.544755        0.676769        0.427249        1.960742
      0.433594        0.528041        0.709321        0.409010        1.936453
      0.441406        0.511739        0.741873        0.391443        1.912316
      0.449219        0.495843        0.774425        0.374526        1.888330
      0.457031        0.480345        0.806977        0.358240        1.864495
      0.464844        0.465236        0.839529        0.342565        1.840812
      0.472656        0.450510        0.872081        0.327481        1.817280
      0.480469        0.436160        0.904633        0.312971        1.793900
      0.488281        0.426319        0.927453        0.303130        1.777600
      0.496094        0.426319        0.927453        0.303130        1.777600
      0.503906        0.426319        0.927453        0.303130        1.777600
      0.511719        0.426319        0.927453        0.303130        1.777600
      0.519531        0.426319        0.927453        0.303130        1.777600
      0.527344        0.426319        0.927453        0.303130        1.777600
      0.535156        0.426319        0.927453        0.303130        1.777600
      0.542969        0.426319        0.927453        0.303130        1.777600
      0.550781        0.426319        0.927453        0.303130        1.777600
      0.558594        0.426319        0.927453        0.303130        1.777600
      0.566406        0.426319        0.927453        0.303130        1.777600
      0.574219        0.426319        0.927453        0.303130        1.777600
      0.582031        0.426319        0.927453        0.303130        1.777600
      0.589844        0.426319        0.927453        0.303130        1.777600
      0.597656        0.426319        0.927453        0.303130        1.777600
      0.605469        0.426319        0.927453        0.303130        1.777600
      0.613281        0.426319        0.927453        0.303130        1.777600
      0.621094        0.426319        0.927453        0.303130        1.777600
      0.628906        0.426319        0.927453        0.303130        1.777600
      0.636719        0.426319        0.927453        0.303130        1.777600
      0.644531        0.426319        0.927453        0.303130        1.777600
      0.652344        0.426319        0.927453        0.303130        1.777600
      0.660156        0.426319        0.927453        0.303130        1.777600
      0.667969        0.426319        0.927453        0.303130        1.777600
      0.675781        0.426319        0.927453        0.303130        1.777600
      0.683594        0.426319        0.927453        0.303130        1.777600
      0.691406        0.265574        0.927453        0.303130        2.853541
      0.699219        0.265574        0.927453        0.303130        2.853541
      0.707031        0.265574        0.927453        0.303130        2.853541
      0.714844        0.265574        0.927453        0.303130        2.853541
      0.722656        0.265574        0.927453        0.303130        2.853541
      0.730469        0.265574        0.927453        0.303130        2.853541
      0.738281        0.265574        0.927453        0.303130        2.853541
      0.746094        0.265574        0.927453        0.303130        2.853541
      0.753906        0.265574        0.927453        0.303130        2.853541
      0.761719        0.265574        0.927453        0.303130        2.853541
      0.769531        0.265574        0.927453        0.303130        2.853541
      0.777344        0.265574        0.927453        0.303130        2.853541
      0.785156        0.265574        0.927453        0.303130        2.853541
      0.792969        0.265574        0.927453        0.303130        2.853541
      0.800781        0.265574        0.927453        0.303130        2.853541
      0.808594        0.265574        0.927453        0.303130        2.853541
      0.816406        0.265574        0.927453        0.303130        2.853541
      0.824219        0.265574        0.927453        0.303130        2.853541
